N,M,expertiseMean,expertiseSpread,expertiseSkew,entrantExpertiseMean,entrantExpertiseSpread,entrantExpertiseFloor,graphAttachment,transferRate,decayRate,learningRateSpread,personalLearningRate,mobilityMode,jumpProbability,competitionAversion,prestigeWeight,baseMoveProb,turnoverRate,learningCap,seniorTenureYears,aptitudeMean,aptitudeSpread,teachTopN,aboveMeanDrag,criticalMass,criticalMassSharpness,aiLevelFraction,aiDampeningBelow,aiDampeningAbove,graphSource,institutionSizing,candidateCap,worldModelFingerprint,comboIndex,replicate,t,meanE_baseline,meanE_treatment,meanE_shortfall,shareExpert_baseline,shareExpert_treatment,shareExpert_shortfall
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.03475,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,34,0,120,0.48775563927367327,0.46470373606930176,0.023051903204371504,0.2966666666666667,0.24166666666666667,0.05500000000000002
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.0365,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,35,0,120,0.47674913666521507,0.45883611037085453,0.017913026294360535,0.17,0.13333333333333333,0.03666666666666668
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.03825,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,36,0,120,0.47452369395643473,0.460446739072601,0.014076954883833759,0.18333333333333332,0.135,0.04833333333333331
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.04,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,37,0,120,0.4585676316047708,0.4407425660826266,0.017825065522144246,0.11,0.12166666666666667,-0.011666666666666672
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.04175,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,38,0,120,0.46512324263031285,0.4399058637581766,0.025217378872136265,0.16333333333333333,0.12,0.043333333333333335
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.0435,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,39,0,120,0.46372621862217783,0.440817809086293,0.022908409535884855,0.155,0.11333333333333333,0.04166666666666667
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.04525,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,40,0,120,0.46680411986385784,0.44394277180855474,0.0228613480553031,0.18166666666666667,0.10833333333333334,0.07333333333333333
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.089,0.047,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,41,0,120,0.4650240978660683,0.43295959908515214,0.03206449878091616,0.08166666666666667,0.041666666666666664,0.04
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.012,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,42,0,120,0.5131046004717549,0.4973230574528376,0.015781543018917266,0.39166666666666666,0.3283333333333333,0.06333333333333335
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.01375,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,43,0,120,0.5110128414382538,0.48473949535439415,0.026273346083859617,0.3883333333333333,0.285,0.10333333333333333
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.0155,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,44,0,120,0.5137734817278882,0.4922015273508926,0.02157195437699555,0.37,0.30666666666666664,0.06333333333333335
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.01725,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,45,0,120,0.5139669341718157,0.48698951677108804,0.026977417400727677,0.405,0.2966666666666667,0.10833333333333334
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.019,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,46,0,120,0.527361334785819,0.5088896324423452,0.01847170234347384,0.42333333333333334,0.37333333333333335,0.04999999999999999
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.02075,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,47,0,120,0.5036881850411494,0.4839782119604448,0.0197099730807046,0.315,0.23666666666666666,0.07833333333333334
600,245,0.28,0.3,3,0.05,0.05,0.05,2,0.098,0.0225,1,0.005,hybrid,0.1,0.5,0.3,0.01,0.0020833333333333333,0.0048,8,0.75,0.2,8,16,0,2,0.585,0.75,1,worldModel,weighted,0,a2a0fec2,48,0,120,0.49418958126877743,0.4693902019225061,0.024799379346271355,0.32,0.22,0.1
